date,order_id,category_level_1,category_level_2,category_level_3,cost_centre,plant,plant_id,region,amount,unit_price,total,ai_result,description,supplier,supplier_country
2025-04-24,ORD-2025-07873-IX,Direct,Components,Industrial fan,CC-100-Production,Germany-South,PLANT-DE-S,Europe,98,4308.8,422262.4,"{""description"":""High-performance electronic components for automotive applications."",""supplier"":""Bosch"",""supplier_country"":""DE""}",High-performance electronic components for automotive applications.,Bosch,DE
2025-09-01,ORD-2025-01211-LO,Direct,Packaging Materials,Wooden pallet,CC-700-Logistics,Germany-South,PLANT-DE-S,Europe,68,520.8,35414.4,"{""description"":""High-quality recyclable packaging solutions for food and beverage industries."",""supplier"":""Tetra Pak GmbH"",""supplier_country"":""DE""}",High-quality recyclable packaging solutions for food and beverage industries.,Tetra Pak GmbH,DE
2025-03-09,ORD-2025-01521-GH,Indirect,IT & Software,Engineering workstation,CC-400-IT,Vietnam Plant,PLANT-VN,Asia,4,855.25,3421.0,"{""description"":""Software development and IT consulting services for enterprise solutions."",""supplier"":""FPT Software"",""supplier_country"":""VNM""}",Software development and IT consulting services for enterprise solutions.,FPT Software,VNM
2024-12-31,ORD-2024-03823-RN,Direct,Castings & Forgings,Housing casting,CC-100-Production,Germany-South,PLANT-DE-S,Europe,36,1141.11,41079.96,"{""description"":""High-quality forged steel components for automotive and industrial applications."",""supplier"":""KraussMaffei"",""supplier_country"":""DE""}",High-quality forged steel components for automotive and industrial applications.,KraussMaffei,DE
2025-11-10,ORD-2025-03749-OC,Direct,Hydraulic Systems,Hydraulic filter,CC-100-Production,Germany-North,PLANT-DE-N,Europe,48,4700.92,225644.16,"{""description"":""Advanced hydraulic systems for heavy-duty industrial applications."",""supplier"":""Bosch Rexroth AG"",""supplier_country"":""DE""}",Advanced hydraulic systems for heavy-duty industrial applications.,Bosch Rexroth AG,DE
2025-11-27,ORD-2025-00021-WT,Direct,Packaging Materials,Export crate,CC-700-Logistics,US-West Plant,PLANT-US-W,North America,47,1222.8,57471.6,"{""description"":""High-quality corrugated boxes and protective packaging solutions."",""supplier"":""Uline"",""supplier_country"":""US""}",High-quality corrugated boxes and protective packaging solutions.,Uline,US
2024-11-14,ORD-2024-03514-SS,Indirect,Office Supplies,Notebook,CC-800-Admin,Brazil Plant,PLANT-BR,South America,52,4899.83,254791.16,"{""description"":""High-quality office stationery and supplies"",""supplier"":""Bureau de Papel"",""supplier_country"":""BR""}",High-quality office stationery and supplies,Bureau de Papel,BR
2025-09-20,ORD-2025-09305-WT,Direct,Bearings & Seals,Spherical roller bearing,CC-100-Production,US-East Plant,PLANT-US-E,North America,59,1086.2,64085.8,"{""description"":""High-performance industrial bearings and seals for heavy machinery."",""supplier"":""Timken"",""supplier_country"":""US""}",High-performance industrial bearings and seals for heavy machinery.,Timken,US
2025-12-12,ORD-2025-03213-UV,Indirect,Temporary Labor / Contracting,Temporary electrician,CC-200-Maintenance,Germany-South,PLANT-DE-S,Europe,92,3615.26,332603.92,"{""description"":""Contracted workforce for plant maintenance and production"",""supplier"":""ManpowerGroup GmbH"",""supplier_country"":""DE""}",Contracted workforce for plant maintenance and production,ManpowerGroup GmbH,DE
2024-12-23,ORD-2024-02514-WR,Indirect,Subscriptions & Data Services,Industry standards subscription,CC-400-IT,Brazil Plant,PLANT-BR,South America,32,4178.79,133721.28,"{""description"":""Comprehensive data subscription services for enterprise solutions."",""supplier"":""Embratel"",""supplier_country"":""BR""}",Comprehensive data subscription services for enterprise solutions.,Embratel,BR
2025-02-01,ORD-2025-03956-HF,Direct,Components,Relay module,CC-100-Production,Brazil Plant,PLANT-BR,South America,11,4955.21,54507.31,"{""description"":""High-quality electronic components for industrial automation."",""supplier"":""Amphenol Brazil"",""supplier_country"":""BR""}",High-quality electronic components for industrial automation.,Amphenol Brazil,BR
2024-05-07,ORD-2024-05985-JQ,Indirect,Rent & Leases,Office rent,CC-800-Admin,Germany-South,PLANT-DE-S,Europe,5,2154.95,10774.75,"{""description"":""Leasing of industrial machinery and equipment for manufacturing operations."",""supplier"":""Sixt Leasing GmbH"",""supplier_country"":""DE""}",Leasing of industrial machinery and equipment for manufacturing operations.,Sixt Leasing GmbH,DE
2025-05-04,ORD-2025-01990-KI,Indirect,Marketing & Advertising,Digital ad spend,CC-500-Sales,Vietnam Plant,PLANT-VN,Asia,17,596.62,10142.54,null,null,null,null
2025-02-06,ORD-2025-06442-HF,Indirect,Events & Conferences,Event catering,CC-500-Sales,US-West Plant,PLANT-US-W,North America,48,3751.83,180087.84,"{""description"":""Comprehensive event management for conferences and trade shows."",""supplier"":""Eventbrite Inc."",""supplier_country"":""US""}",Comprehensive event management for conferences and trade shows.,Eventbrite Inc.,US
2025-08-29,ORD-2025-05369-JA,Direct,Castings & Forgings,Housing casting,CC-100-Production,US-East Plant,PLANT-US-E,North America,14,4693.66,65711.24,"{""description"":null,""supplier"":""Alcoa"",""supplier_country"":""US,""}",null,Alcoa,"US,"
2024-08-24,ORD-2024-01623-SZ,Direct,Packaging Materials,Stretch film,CC-700-Logistics,Brazil Plant,PLANT-BR,South America,17,2379.8,40456.6,"{""description"":""High-quality recyclable packaging solutions for food and beverage industries."",""supplier"":""Tetra Pak"",""supplier_country"":""BR""}",High-quality recyclable packaging solutions for food and beverage industries.,Tetra Pak,BR
2025-02-11,ORD-2025-00898-IQ,Non-Procureable,Government Services & Taxes,Property tax,CC-800-Admin,Germany-North,PLANT-DE-N,Europe,1,63945.45,63945.45,"{""description"":""Tax advisory and compliance services for federal and local governments."",""supplier"":""KPMG Germany"",""supplier_country"":""DE""}",Tax advisory and compliance services for federal and local governments.,KPMG Germany,DE
2024-06-26,ORD-2024-01821-RT,Direct,Raw Materials,Structural steel plate,CC-100-Production,US-East Plant,PLANT-US-E,North America,86,405.62,34883.32,"{""description"":""High-quality raw materials for industrial manufacturing."",""supplier"":""Cargill"",""supplier_country"":""US""}",High-quality raw materials for industrial manufacturing.,Cargill,US
2024-03-26,ORD-2024-07532-FG,Indirect,Cleaning & Janitorial,Janitorial service,CC-800-Admin,Germany-South,PLANT-DE-S,Europe,10,4231.21,42312.1,null,null,null,null
2024-09-15,ORD-2024-00020-BT,Non-Procureable,Payroll,Production wages,CC-600-HR,US-East Plant,PLANT-US-E,North America,1,427852.44,427852.44,"{""description"":""Comprehensive payroll processing and compliance solutions for mid-sized businesses."",""supplier"":""ADP"",""supplier_country"":""US""}",Comprehensive payroll processing and compliance solutions for mid-sized businesses.,ADP,US
2025-06-08,ORD-2025-09388-QT,Direct,Packaging Materials,Export crate,CC-700-Logistics,Germany-North,PLANT-DE-N,Europe,86,4857.71,417763.06,"{""description"":""High-quality recyclable packaging solutions."",""supplier"":""Hengst GmbH"",""supplier_country"":""DE""}",High-quality recyclable packaging solutions.,Hengst GmbH,DE
2025-12-04,ORD-2025-03573-BG,Non-Procureable,Miscellaneous Expenses,Rounding adjustment,CC-800-Admin,US-West Plant,PLANT-US-W,North America,1,99124.43,99124.43,"{""description"":""Office supplies, small equipment, and cleaning services"",""supplier"":""Staples Inc."",""supplier_country"":""US""}","Office supplies, small equipment, and cleaning services",Staples Inc.,US
2024-09-25,ORD-2024-06762-WY,Direct,Bearings & Seals,Oil seal,CC-100-Production,Germany-South,PLANT-DE-S,Europe,81,1228.84,99536.04,"{""description"":""High-performance industrial bearings and seals for automotive and aerospace"",""supplier"":""Beltz GmbH"",""supplier_country"":""DE""}",High-performance industrial bearings and seals for automotive and aerospace,Beltz GmbH,DE
2024-11-20,ORD-2024-08689-OW,Indirect,Facilities & Utilities,Water & sewage,CC-200-Maintenance,US-West Plant,PLANT-US-W,North America,10,3861.64,38616.4,"{""description"":""Reliable facilities and utilities support for West Coast operations."",""supplier"":""Pacific Gas & Electric"",""supplier_country"":""US""}",Reliable facilities and utilities support for West Coast operations.,Pacific Gas & Electric,US
2024-01-22,ORD-2024-01035-QQ,Direct,Components,Industrial fan,CC-100-Production,Germany-North,PLANT-DE-N,Europe,16,2406.06,38496.96,"{""description"":""High-performance electronic components for automotive applications."",""supplier"":""Bosch"",""supplier_country"":""DE""}",High-performance electronic components for automotive applications.,Bosch,DE
2024-08-16,ORD-2024-07150-PL,Indirect,Professional Services,Audit fee,CC-900-Projects,Germany-South,PLANT-DE-S,Europe,34,3824.06,130018.04,"{""description"":""Professional consulting and advisory services"",""supplier"":""Deloitte Germany"",""supplier_country"":""DE""}",Professional consulting and advisory services,Deloitte Germany,DE
2024-07-12,ORD-2024-07120-HV,Direct,Castings & Forgings,Tower flange,CC-100-Production,US-East Plant,PLANT-US-E,North America,53,4238.85,224659.05,"{""description"":""High-strength steel castings for automotive and aerospace components."",""supplier"":""Nucor"",""supplier_country"":""US""}",High-strength steel castings for automotive and aerospace components.,Nucor,US
2024-05-30,ORD-2024-03738-RZ,Direct,Castings & Forgings,Tower flange,CC-100-Production,US-East Plant,PLANT-US-E,North America,92,2859.97,263117.24,"{""description"":""High-strength aluminum castings for aerospace and automotive applications."",""supplier"":""Alcoa Corporation"",""supplier_country"":""US""}",High-strength aluminum castings for aerospace and automotive applications.,Alcoa Corporation,US
2024-05-23,ORD-2024-01667-EX,Indirect,Events & Conferences,Conference registration,CC-500-Sales,Brazil Plant,PLANT-BR,South America,52,4026.19,209361.88,null,null,null,null
2024-09-03,ORD-2024-02711-YI,Direct,Blades & Hub Parts,Hub flange,CC-300-Engineering,Vietnam Plant,PLANT-VN,Asia,73,1607.79,117368.67,"{""description"":""High-performance blades and hub components for automotive and industrial applications."",""supplier"":""Viet Nam Blades & Hub Parts Co., Ltd."",""supplier_country"":""VN""}",High-performance blades and hub components for automotive and industrial applications.,"Viet Nam Blades & Hub Parts Co., Ltd.",VN
2025-09-21,ORD-2025-04069-UT,Direct,Blades & Hub Parts,Pitch bearing,CC-300-Engineering,Germany-North,PLANT-DE-N,Europe,88,2603.58,229115.04,"{""description"":""High-performance blades and hub parts for automotive applications."",""supplier"":""Schaeffler AG"",""supplier_country"":""DE""}",High-performance blades and hub parts for automotive applications.,Schaeffler AG,DE
2025-03-15,ORD-2025-01903-BU,Indirect,Events & Conferences,Sponsorship fee,CC-500-Sales,Vietnam Plant,PLANT-VN,Asia,15,4361.18,65417.7,"{""description"":""Comprehensive event planning and conference solutions"",""supplier"":""Vietnam Event Management Co., Ltd."",""supplier_country"":""VN""}",Comprehensive event planning and conference solutions,"Vietnam Event Management Co., Ltd.",VN
2024-08-15,ORD-2024-00402-IM,Direct,Hydraulic Systems,Hydraulic cylinder,CC-100-Production,US-East Plant,PLANT-US-E,North America,78,3539.12,276051.36,"{""description"":""High-performance hydraulic system components for industrial applications."",""supplier"":""Parker Hannifin"",""supplier_country"":""US""}",High-performance hydraulic system components for industrial applications.,Parker Hannifin,US
2024-03-28,ORD-2024-00915-UX,Indirect,Marketing & Advertising,Promotional items,CC-500-Sales,Germany-North,PLANT-DE-N,Europe,77,3375.7,259928.9,"{""description"":""Digital marketing and creative advertising solutions for local businesses."",""supplier"":""Jung von Matt"",""supplier_country"":""DE""}",Digital marketing and creative advertising solutions for local businesses.,Jung von Matt,DE
2025-12-16,ORD-2025-05839-PR,Indirect,Rent & Leases,Office rent,CC-800-Admin,Vietnam Plant,PLANT-VN,Asia,7,862.79,6039.53,"{""description"":""Lease management services for industrial facilities and equipment."",""supplier"":""Viet Nam Leasing & Finance Co., Ltd."",""supplier_country"":""VN""}",Lease management services for industrial facilities and equipment.,"Viet Nam Leasing & Finance Co., Ltd.",VN
2024-01-17,ORD-2024-06758-ES,Indirect,Temporary Labor / Contracting,Crane rental crew,CC-200-Maintenance,US-West Plant,PLANT-US-W,North America,60,845.65,50739.0,"{""description"":""Provides temporary skilled labor for manufacturing plant operations."",""supplier"":""Adecco"",""supplier_country"":""US""}",Provides temporary skilled labor for manufacturing plant operations.,Adecco,US
2025-02-10,ORD-2025-04866-BU,Direct,Raw Materials,Aluminum ingot,CC-100-Production,US-West Plant,PLANT-US-W,North America,25,1623.38,40584.5,"{""description"":""High-quality bulk raw materials for industrial use."",""supplier"":""Cargill"",""supplier_country"":""US""}",High-quality bulk raw materials for industrial use.,Cargill,US
2024-06-28,ORD-2024-08024-MF,Indirect,Telecom & Connectivity,VOIP subscription,CC-400-IT,Vietnam Plant,PLANT-VN,Asia,76,2841.03,215918.28,"{""description"":""High-performance telecom connectivity solutions for enterprise networks."",""supplier"":""Viettel Group"",""supplier_country"":""VN""}",High-performance telecom connectivity solutions for enterprise networks.,Viettel Group,VN
2025-04-11,ORD-2025-09485-IJ,Non-Procureable,Government Services & Taxes,Regulatory fee,CC-800-Admin,Germany-North,PLANT-DE-N,Europe,1,488396.19,488396.19,"{""description"":""Comprehensive tax advisory and compliance services for government entities."",""supplier"":""PwC Germany"",""supplier_country"":""DE""}",Comprehensive tax advisory and compliance services for government entities.,PwC Germany,DE
2025-07-31,ORD-2025-01399-BM,Non-Procureable,Government Services & Taxes,Property tax,CC-800-Admin,Brazil Plant,PLANT-BR,South America,1,226268.06,226268.06,"{""description"":""Tax compliance and advisory services for Brazilian government entities."",""supplier"":""Deloitte Brazil"",""supplier_country"":""BR""}",Tax compliance and advisory services for Brazilian government entities.,Deloitte Brazil,BR
2024-08-09,ORD-2024-06975-DJ,Non-Procureable,Miscellaneous Expenses,Small write-off,CC-800-Admin,US-West Plant,PLANT-US-W,North America,1,355531.52,355531.52,"{""description"":""Office supplies and small equipment."",""supplier"":""Staples Inc."",""supplier_country"":""US""}",Office supplies and small equipment.,Staples Inc.,US
2025-10-30,ORD-2025-09104-HW,Direct,Hydraulic Systems,Hydraulic pump,CC-100-Production,US-East Plant,PLANT-US-E,North America,21,1827.02,38367.42,"{""description"":""High-performance hydraulic system components for industrial applications."",""supplier"":""Parker Hannifin"",""supplier_country"":""US""}",High-performance hydraulic system components for industrial applications.,Parker Hannifin,US
2024-07-29,ORD-2024-00526-TN,Direct,Raw Materials,Structural steel plate,CC-100-Production,Germany-North,PLANT-DE-N,Europe,51,4781.42,243852.42,"{""description"":""High-quality raw materials for industrial manufacturing."",""supplier"":""BASF SE"",""supplier_country"":""DE""}",High-quality raw materials for industrial manufacturing.,BASF SE,DE
2024-05-29,ORD-2024-08377-MZ,Direct,Sub-Assemblies,Yaw module,CC-100-Production,Germany-North,PLANT-DE-N,Europe,82,2795.3,229214.6,"{""description"":""High-precision automotive sub-assemblies for powertrain systems."",""supplier"":""ZF Friedrichshafen AG"",""supplier_country"":""DE""}",High-precision automotive sub-assemblies for powertrain systems.,ZF Friedrichshafen AG,DE
2024-06-24,ORD-2024-03322-CQ,Indirect,IT & Software,Firewall subscription,CC-400-IT,Brazil Plant,PLANT-BR,South America,92,2610.9,240202.8,"{""description"":""Enterprise resource planning and business software solutions."",""supplier"":""TOTVS"",""supplier_country"":""BR""}",Enterprise resource planning and business software solutions.,TOTVS,BR
2024-08-23,ORD-2024-00044-MA,Indirect,Telecom & Connectivity,Internet service,CC-400-IT,Vietnam Plant,PLANT-VN,Asia,45,750.98,33794.1,"{""description"":""High-performance telecom connectivity solutions for enterprise networks."",""supplier"":""Viettel Group"",""supplier_country"":""VN""}",High-performance telecom connectivity solutions for enterprise networks.,Viettel Group,VN
2025-09-23,ORD-2025-01137-LS,Direct,Raw Materials,Epoxy resin,CC-100-Production,US-West Plant,PLANT-US-W,North America,70,2352.45,164671.5,"{""description"":""High-quality raw materials for industrial manufacturing"",""supplier"":""Cargill"",""supplier_country"":""US""}",High-quality raw materials for industrial manufacturing,Cargill,US
2025-05-16,ORD-2025-02573-QS,Indirect,Cleaning & Janitorial,Janitorial service,CC-800-Admin,Brazil Plant,PLANT-BR,South America,51,1634.6,83364.6,"{""description"":""High‑quality cleaning supplies for industrial facilities"",""supplier"":""Hygiene Solutions Brasil"",""supplier_country"":""BR""}",High‑quality cleaning supplies for industrial facilities,Hygiene Solutions Brasil,BR
2024-12-27,ORD-2024-01882-QR,Direct,Raw Materials,Structural steel plate,CC-100-Production,Germany-North,PLANT-DE-N,Europe,11,166.64,1833.04,"{""description"":""High-quality raw materials for industrial manufacturing."",""supplier"":""BASF SE"",""supplier_country"":""DE""}",High-quality raw materials for industrial manufacturing.,BASF SE,DE
2024-09-19,ORD-2024-00211-FA,Indirect,Professional Services,Management consulting,CC-900-Projects,US-West Plant,PLANT-US-W,North America,27,3451.96,93202.92,"{""description"":""Consulting services for business transformation and digital strategy."",""supplier"":""Accenture"",""supplier_country"":""US""}",Consulting services for business transformation and digital strategy.,Accenture,US
2025-04-07,ORD-2025-08667-GS,Direct,Packaging Materials,Stretch film,CC-700-Logistics,US-East Plant,PLANT-US-E,North America,20,3730.38,74607.6,"{""description"":""High-quality corrugated boxes and protective packaging solutions for shipping and storage."",""supplier"":""Uline"",""supplier_country"":""US""}",High-quality corrugated boxes and protective packaging solutions for shipping and storage.,Uline,US
2024-07-13,ORD-2024-03354-OZ,Indirect,Professional Services,Engineering consulting,CC-900-Projects,US-West Plant,PLANT-US-W,North America,59,1657.82,97811.38,"{""description"":""Consulting and technology services for business transformation."",""supplier"":""Accenture"",""supplier_country"":""US""}",Consulting and technology services for business transformation.,Accenture,US
2025-08-09,ORD-2025-06495-FK,Direct,Fasteners,High-tensile bolt,CC-100-Production,Vietnam Plant,PLANT-VN,Asia,15,4356.64,65349.6,null,null,null,null
2025-03-12,ORD-2025-04076-FA,Indirect,Events & Conferences,Sponsorship fee,CC-500-Sales,Brazil Plant,PLANT-BR,South America,87,1531.22,133216.14,"{""description"":""Professional event planning and conference services"",""supplier"":""Eventos e Conferências Brasil Ltda."",""supplier_country"":""BR""}",Professional event planning and conference services,Eventos e Conferências Brasil Ltda.,BR
2025-01-17,ORD-2025-06406-GM,Direct,Blades & Hub Parts,Blade shear web,CC-300-Engineering,US-East Plant,PLANT-US-E,North America,50,502.45,25122.5,null,null,null,null
2024-02-01,ORD-2024-01636-IR,Indirect,Safety & PPE,Nitrile gloves,CC-200-Maintenance,Brazil Plant,PLANT-BR,South America,43,2763.83,118844.69,"{""description"":""High-quality protective gear for industrial safety."",""supplier"":""3M Brazil"",""supplier_country"":""BR""}",High-quality protective gear for industrial safety.,3M Brazil,BR
2025-05-16,ORD-2025-00059-PH,Direct,Sub-Assemblies,Yaw module,CC-100-Production,Germany-South,PLANT-DE-S,Europe,89,853.93,75999.77,"{""description"":""High-precision automotive sub-assemblies for powertrain and chassis systems."",""supplier"":""ZF Friedrichshafen AG"",""supplier_country"":""DE""}",High-precision automotive sub-assemblies for powertrain and chassis systems.,ZF Friedrichshafen AG,DE
2024-05-01,ORD-2024-06684-PZ,Direct,Electrical Assemblies,Control cabinet,CC-100-Production,Brazil Plant,PLANT-BR,South America,79,4821.8,380922.2,"{""description"":""High-quality electrical assemblies for industrial automation and power distribution."",""supplier"":""Eletrônica Industrial Ltda."",""supplier_country"":""BR""}",High-quality electrical assemblies for industrial automation and power distribution.,Eletrônica Industrial Ltda.,BR
2025-03-01,ORD-2025-06103-EG,Direct,Packaging Materials,Wooden pallet,CC-700-Logistics,Germany-North,PLANT-DE-N,Europe,21,3543.2,74407.2,"{""description"":""High-quality recyclable packaging solutions for food and beverage industries."",""supplier"":""Tetra Pak"",""supplier_country"":""SE""}",High-quality recyclable packaging solutions for food and beverage industries.,Tetra Pak,SE
2024-06-15,ORD-2024-03164-ZQ,Direct,Fasteners,High-tensile bolt,CC-100-Production,Germany-North,PLANT-DE-N,Europe,65,4188.08,272225.2,"{""description"":""High-quality steel fasteners for industrial applications."",""supplier"":""Würth Group"",""supplier_country"":""DE""}",High-quality steel fasteners for industrial applications.,Würth Group,DE
2025-10-13,ORD-2025-05015-MK,Direct,Electrical Assemblies,Main breaker,CC-100-Production,Brazil Plant,PLANT-BR,South America,8,4773.46,38187.68,"{""description"":""High-quality electrical assemblies for industrial automation"",""supplier"":""Schneider Electric Brazil"",""supplier_country"":""BR""}",High-quality electrical assemblies for industrial automation,Schneider Electric Brazil,BR
2024-12-14,ORD-2024-01425-DI,Indirect,Training & HR,Leadership training,CC-600-HR,Germany-North,PLANT-DE-N,Europe,6,3859.08,23154.48,"{""description"":""Comprehensive leadership and management training programs for corporate teams."",""supplier"":""Dale Carnegie Training Germany"",""supplier_country"":""DE""}",Comprehensive leadership and management training programs for corporate teams.,Dale Carnegie Training Germany,DE
2024-06-11,ORD-2024-07586-LO,Indirect,Marketing & Advertising,Promotional items,CC-500-Sales,Brazil Plant,PLANT-BR,South America,56,4174.95,233797.2,"{""description"":""Creative marketing solutions for Brazilian brands."",""supplier"":""Alma Advertising"",""supplier_country"":""BR""}",Creative marketing solutions for Brazilian brands.,Alma Advertising,BR
2025-07-05,ORD-2025-09627-AG,Direct,Raw Materials,Aluminum ingot,CC-100-Production,US-East Plant,PLANT-US-E,North America,57,1385.42,78968.94,"{""description"":""High-quality raw materials for industrial manufacturing."",""supplier"":""Cargill"",""supplier_country"":""US""}",High-quality raw materials for industrial manufacturing.,Cargill,US
2024-09-17,ORD-2024-09716-MV,Indirect,Telecom & Connectivity,VOIP subscription,CC-400-IT,Vietnam Plant,PLANT-VN,Asia,1,3534.96,3534.96,"{""description"":""High-speed fiber optic connectivity solutions for enterprise networks."",""supplier"":""Nokia Vietnam"",""supplier_country"":""VN""}",High-speed fiber optic connectivity solutions for enterprise networks.,Nokia Vietnam,VN
2025-03-18,ORD-2025-03608-JS,Direct,Blades & Hub Parts,Blade shear web,CC-300-Engineering,US-West Plant,PLANT-US-W,North America,78,4958.31,386748.18,"{""description"":""High-performance turbine blades and hub components for aerospace applications."",""supplier"":""GE Aviation"",""supplier_country"":""US""}",High-performance turbine blades and hub components for aerospace applications.,GE Aviation,US
2025-12-09,ORD-2025-05778-OL,Indirect,Telecom & Connectivity,VOIP subscription,CC-400-IT,US-West Plant,PLANT-US-W,North America,6,1633.29,9799.74,"{""description"":""Advanced wireless infrastructure for 5G deployments."",""supplier"":""Cisco Systems"",""supplier_country"":""US""}",Advanced wireless infrastructure for 5G deployments.,Cisco Systems,US
2025-03-31,ORD-2025-07360-ZU,Direct,Castings & Forgings,Gear blank,CC-100-Production,US-East Plant,PLANT-US-E,North America,88,945.89,83238.32,"{""description"":""High-strength aluminum castings for aerospace and automotive applications."",""supplier"":""Alcoa Corporation"",""supplier_country"":""US""}",High-strength aluminum castings for aerospace and automotive applications.,Alcoa Corporation,US
2024-08-16,ORD-2024-07245-WI,Direct,Blades & Hub Parts,Pitch bearing,CC-300-Engineering,Germany-South,PLANT-DE-S,Europe,53,4857.97,257472.41,"{""description"":""High-performance blades and hub parts for industrial machinery."",""supplier"":""Köhler GmbH"",""supplier_country"":""DE""}",High-performance blades and hub parts for industrial machinery.,Köhler GmbH,DE
2025-11-30,ORD-2025-05844-ZO,Direct,Hydraulic Systems,Hydraulic pump,CC-100-Production,Vietnam Plant,PLANT-VN,Asia,73,4894.64,357308.72,"{""description"":""High-performance hydraulic systems for industrial plant automation and heavy machinery."",""supplier"":""Hyundai Heavy Industries"",""supplier_country"":""KR""}",High-performance hydraulic systems for industrial plant automation and heavy machinery.,Hyundai Heavy Industries,KR
2024-02-09,ORD-2024-03361-FS,Indirect,Logistics & Freight,Local courier,CC-700-Logistics,Brazil Plant,PLANT-BR,South America,22,911.76,20058.72,"{""description"":""Efficient freight and logistics solutions for Brazil."",""supplier"":""Logística Brasil"",""supplier_country"":""BR""}",Efficient freight and logistics solutions for Brazil.,Logística Brasil,BR
2025-09-01,ORD-2025-07089-RB,Indirect,IT & Software,CAD license,CC-400-IT,Vietnam Plant,PLANT-VN,Asia,26,1365.11,35492.86,"{""description"":""Custom software development and IT consulting services."",""supplier"":""FPT Software"",""supplier_country"":""VNM""}",Custom software development and IT consulting services.,FPT Software,VNM
2025-11-18,ORD-2025-00116-RX,Direct,Castings & Forgings,Tower flange,CC-100-Production,Vietnam Plant,PLANT-VN,Asia,80,3608.98,288718.4,"{""description"":""Precision castings and forgings for heavy machinery and automotive."",""supplier"":""Viet Nam Steel Corporation"",""supplier_country"":""VNM""}",Precision castings and forgings for heavy machinery and automotive.,Viet Nam Steel Corporation,VNM
2024-10-14,ORD-2024-09376-PQ,Direct,Components,Gearmotor,CC-100-Production,Brazil Plant,PLANT-BR,South America,32,3653.96,116926.72,"{""description"":""High-quality electronic components for industrial automation."",""supplier"":""Amphenol Brazil"",""supplier_country"":""BR""}",High-quality electronic components for industrial automation.,Amphenol Brazil,BR
2025-08-14,ORD-2025-05380-SY,Indirect,Professional Services,Management consulting,CC-900-Projects,US-East Plant,PLANT-US-E,North America,82,4532.28,371646.96,"{""description"":""Consulting services for business transformation and digital strategy."",""supplier"":""Accenture"",""supplier_country"":""US""}",Consulting services for business transformation and digital strategy.,Accenture,US
2024-08-13,ORD-2024-02385-NT,Direct,Bearings & Seals,Oil seal,CC-100-Production,Vietnam Plant,PLANT-VN,Asia,67,3384.75,226778.25,"{""description"":""High-performance ball bearings and seals for industrial applications."",""supplier"":""Viet Nam Bearing & Seal Co."",""supplier_country"":""VNM""}",High-performance ball bearings and seals for industrial applications.,Viet Nam Bearing & Seal Co.,VNM
2025-07-28,ORD-2025-04231-UZ,Indirect,Recruitment Services,Background check,CC-600-HR,Vietnam Plant,PLANT-VN,Asia,84,529.04,44439.36,"{""description"":""Providing tailored recruitment solutions for manufacturing and engineering roles."",""supplier"":""Vietnam Talent Solutions"",""supplier_country"":""VN""}",Providing tailored recruitment solutions for manufacturing and engineering roles.,Vietnam Talent Solutions,VN
2025-04-23,ORD-2025-00067-MM,Direct,Packaging Materials,Wooden pallet,CC-700-Logistics,Brazil Plant,PLANT-BR,South America,73,47.72,3483.56,"{""description"":""High-quality recyclable packaging materials for industrial use."",""supplier"":""Amcor Brazil"",""supplier_country"":""BR""}",High-quality recyclable packaging materials for industrial use.,Amcor Brazil,BR
2024-10-18,ORD-2024-04140-WI,Indirect,Safety & PPE,Nitrile gloves,CC-200-Maintenance,Germany-North,PLANT-DE-N,Europe,60,3421.54,205292.4,"{""description"":""High-quality protective gear for industrial safety"",""supplier"":""Würth"",""supplier_country"":""DE""}",High-quality protective gear for industrial safety,Würth,DE
2024-04-22,ORD-2024-02792-TD,Indirect,IT & Software,Firewall subscription,CC-400-IT,Germany-South,PLANT-DE-S,Europe,75,4528.61,339645.75,"{""description"":""Comprehensive IT solutions for enterprise resource planning."",""supplier"":""SAP SE"",""supplier_country"":""DE""}",Comprehensive IT solutions for enterprise resource planning.,SAP SE,DE
2025-10-17,ORD-2025-07405-VZ,Indirect,Marketing & Advertising,Digital ad spend,CC-500-Sales,Brazil Plant,PLANT-BR,South America,30,1492.1,44763.0,"{""description"":""Creative marketing solutions for Brazilian brands."",""supplier"":""Alma Advertising"",""supplier_country"":""BR""}",Creative marketing solutions for Brazilian brands.,Alma Advertising,BR
2024-04-21,ORD-2024-08445-FP,Indirect,"MRO (Maintenance, Repair, Operations)",Vacuum pump,CC-200-Maintenance,US-West Plant,PLANT-US-W,North America,44,2900.8,127635.2,"{""description"":""High-quality industrial tools and safety equipment for plant maintenance."",""supplier"":""Grainger Industrial Supply"",""supplier_country"":""US""}",High-quality industrial tools and safety equipment for plant maintenance.,Grainger Industrial Supply,US
2024-12-03,ORD-2024-09377-ZJ,Non-Procureable,Payroll,Management salaries,CC-600-HR,Vietnam Plant,PLANT-VN,Asia,1,352317.34,352317.34,"{""description"":""Payroll processing and compliance for Vietnam plant"",""supplier"":""ADP Vietnam"",""supplier_country"":""VN""}",Payroll processing and compliance for Vietnam plant,ADP Vietnam,VN
